idplanmed,idestcub,idfustemed,plantio,numarv,datamedicao,dap,ht,seq,hi,dicc1,dicc2,espcasca
1,1,21,1,907,2004-02-20,"12,3","22,1",8,10,9,9,"0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",9,12,"8,4","8,4","0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",10,14,"6,7","6,7","0,2"
1,1,21,1,907,2004-02-20,"12,3","22,1",11,16,"5,7","5,7","0,2"
1,1,21,1,907,2004-02-20,"12,3","22,1",12,18,"4,3","4,3","0,2"
1,1,21,1,907,2004-02-20,"12,3","22,1",13,20,"3,1","3,1","0,2"
1,1,22,1,910,2004-02-20,"3,7","9,1",1,"0,1","5,2","5,2","0,2"
1,1,22,1,910,2004-02-20,"3,7","9,1",2,"0,7",4,4,"0,2"
1,1,22,1,910,2004-02-20,"3,7","9,1",3,"1,3","3,7","3,7","0,1"
1,1,22,1,910,2004-02-20,"3,7","9,1",4,2,"2,7","2,7","0,1"
1,1,22,1,910,2004-02-20,"3,7","9,1",5,4,"2,3","2,3","0,1"
1,1,22,1,910,2004-02-20,"3,7","9,1",6,6,2,2,"0,1"
1,1,22,1,910,2004-02-20,"3,7","9,1",7,8,"1,6","1,6","0,1"
1,1,23,1,911,2004-02-20,"8,1","16,1",1,"0,1","9,7","9,7","0,4"
1,1,23,1,911,2004-02-20,"8,1","16,1",2,"0,7","8,4","8,4","0,3"
1,1,23,1,911,2004-02-20,"8,1","16,1",3,"1,3","8,1","8,1","0,3"
1,1,23,1,911,2004-02-20,"8,1","16,1",4,2,"7,5","7,5","0,3"
1,1,23,1,911,2004-02-20,"8,1","16,1",5,4,"6,7","6,7","0,3"
1,1,23,1,911,2004-02-20,"8,1","16,1",6,6,"6,1","6,1","0,2"
1,1,23,1,911,2004-02-20,"8,1","16,1",7,8,"5,2","5,2","0,2"
1,1,23,1,911,2004-02-20,"8,1","16,1",8,10,"4,5","4,5","0,2"
1,1,23,1,911,2004-02-20,"8,1","16,1",9,12,"3,3","3,3","0,1"
1,1,23,1,911,2004-02-20,"8,1","16,1",10,14,"2,2","2,2","0,1"
1,1,25,1,914,2004-02-20,"15,6","25,1",1,"0,1","19,3","19,3","0,6"
1,1,25,1,914,2004-02-20,"15,6","25,1",2,"0,7",17,17,"0,5"
1,1,25,1,914,2004-02-20,"15,6","25,1",3,"1,3","15,6","15,6","0,5"
1,1,25,1,914,2004-02-20,"15,6","25,1",4,2,"14,7","14,7","0,3"
1,1,25,1,914,2004-02-20,"15,6","25,1",5,4,"13,9","13,9","0,3"
1,1,25,1,914,2004-02-20,"15,6","25,1",6,6,13,13,"0,3"
1,1,25,1,914,2004-02-20,"15,6","25,1",7,8,12,12,"0,3"
1,1,25,1,914,2004-02-20,"15,6","25,1",8,10,"11,5","11,5","0,3"
1,1,25,1,914,2004-02-20,"15,6","25,1",9,12,"10,2","10,2","0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",10,14,"9,6","9,6","0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",11,16,"8,5","8,5","0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",12,18,"7,2","7,2","0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",13,20,6,6,"0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",14,22,"4,5","4,5","0,2"
1,1,25,1,914,2004-02-20,"15,6","25,1",15,24,2,2,"0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",1,"0,1",7,7,"0,5"
1,1,26,1,916,2003-10-15,"5,5","12,1",2,"0,7",6,6,"0,4"
1,1,26,1,916,2003-10-15,"5,5","12,1",3,"1,3","5,5","5,5","0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",4,2,"4,9","4,9","0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",5,4,4,4,"0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",6,6,"3,6","3,6","0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",7,8,"2,7","2,7","0,1"
1,1,26,1,916,2003-10-15,"5,5","12,1",8,10,2,2,"0,1"
1,1,27,1,921,2003-10-15,"19,5",25,1,"0,1","23,6","23,6","1,1"
1,1,27,1,921,2003-10-15,"19,5",25,2,"0,7",21,21,"0,6"
1,1,27,1,921,2003-10-15,"19,5",25,3,"1,3","19,5","19,5","0,4"
1,1,27,1,921,2003-10-15,"19,5",25,4,2,"18,8","18,8","0,4"
1,1,27,1,921,2003-10-15,"19,5",25,5,4,"17,3","17,3","0,4"
1,1,27,1,921,2003-10-15,"19,5",25,6,6,"15,6","15,6","0,4"
